,blockNumber,timestamp,pool,assets,shares,owner_id,token,decimals,,,,
1180,7876917,1702543181,DEEZ-NUTS-100bps,5.50E+19,5.49E+19,0x98a7e30247c387d2adcec653a4c8c325cb18d679,DEEZ,18,,,,
336,7889524,1702568395,DEEZ-NUTS-100bps,5.00E+19,4.99E+19,0xdc64a6620c4307aa25b7b91d07f4a3a8f350b172,DEEZ,18,,,,
368,7889538,1702568423,DEEZ-NUTS-100bps,5.00E+19,5.00E+19,0xdc64a6620c4307aa25b7b91d07f4a3a8f350b172,NUTS,18,,,,
1181,7890325,1702569997,DEEZ-NUTS-100bps,5.50E+19,5.49E+19,0x98a7e30247c387d2adcec653a4c8c325cb18d679,NUTS,18,,,,
1134,7891505,1702572357,DEEZ-NUTS-100bps,5.00E+18,4.99E+18,0xdc64a6620c4307aa25b7b91d07f4a3a8f350b172,NUTS,18,,,,
1251,7891510,1702572367,DEEZ-NUTS-100bps,5.00E+18,4.99E+18,0xdc64a6620c4307aa25b7b91d07f4a3a8f350b172,DEEZ,18,,,,
468,8104635,1702998617,DEEZ-NUTS-100bps,5.00E+18,4.98E+18,0xdc64a6620c4307aa25b7b91d07f4a3a8f350b172,DEEZ,18,,,,
1287,8104943,1702999233,DEEZ-NUTS-100bps,6.78E+19,6.75E+19,0x9999999e2f76ed42e6b1a4eefd0fd472790fa1a5,DEEZ,18,,,,
485,8104958,1702999263,DEEZ-NUTS-100bps,7.35E+19,7.33E+19,0x9999999e2f76ed42e6b1a4eefd0fd472790fa1a5,NUTS,18,,,,
1431,8109257,1703007861,DEEZ-NUTS-100bps,8.63E+19,8.60E+19,0x742626cbaa066560f38221a7d7c04cc56ecd775e,DEEZ,18,,,,
272,8109260,1703007867,DEEZ-NUTS-100bps,5.05E+19,5.04E+19,0x742626cbaa066560f38221a7d7c04cc56ecd775e,NUTS,18,,,,
686,8110781,1703010909,DEEZ-NUTS-100bps,1.00E+20,9.95E+19,0x56fcc88e8c901830f1da75b375b5f74dc76863fd,DEEZ,18,,,,
876,8110783,1703010913,DEEZ-NUTS-100bps,1.00E+20,9.96E+19,0x56fcc88e8c901830f1da75b375b5f74dc76863fd,NUTS,18,,,,
492,8114816,1703018979,DEEZ-NUTS-100bps,2.92E+19,2.91E+19,0x9999999e2f76ed42e6b1a4eefd0fd472790fa1a5,DEEZ,18,,,,
773,8114835,1703019017,DEEZ-NUTS-100bps,9.56E+19,9.52E+19,0x9999999e2f76ed42e6b1a4eefd0fd472790fa1a5,NUTS,18,,,,
676,8124500,1703038347,DEEZ-NUTS-100bps,2.27E+20,2.26E+20,0x1718e06694adb7806435b70fe0c94c39b952331d,DEEZ,18,,,,
717,8151268,1703091883,DEEZ-NUTS-100bps,1.00E+19,9.94E+18,0xf1ac29b67d0695546123185776afffb3be7dc4d1,DEEZ,18,,,,
83,8151284,1703091915,DEEZ-NUTS-100bps,1.00E+19,9.95E+18,0xf1ac29b67d0695546123185776afffb3be7dc4d1,NUTS,18,,,,
833,8151512,1703092371,DEEZ-NUTS-100bps,9.03E+19,8.99E+19,0xa904a0f8b4f0292785ad610dae1084a916142a77,NUTS,18,,,,
661,8151557,1703092461,DEEZ-NUTS-100bps,4.29E+19,4.26E+19,0xa904a0f8b4f0292785ad610dae1084a916142a77,DEEZ,18,,,,
1059,8151765,1703092877,DEEZ-NUTS-100bps,6.80E+19,6.76E+19,0xbf713bad9e90f92bb95afbfdd7b42312da76297c,DEEZ,18,,,,
1350,8151775,1703092897,DEEZ-NUTS-100bps,7.20E+19,7.16E+19,0xbf713bad9e90f92bb95afbfdd7b42312da76297c,NUTS,18,,,,
707,8151814,1703092975,DEEZ-NUTS-100bps,6.80E+19,6.76E+19,0xd72c4196f98af2dc99d588560d48381f067eb19c,DEEZ,18,,,,
390,8151890,1703093127,DEEZ-NUTS-100bps,3.20E+19,3.18E+19,0xd72c4196f98af2dc99d588560d48381f067eb19c,NUTS,18,,,,
758,8151945,1703093237,DEEZ-NUTS-100bps,1.00E+19,9.93E+18,0x11b53d1dac74f1038a63e12651e5c4341fc19d5f,DEEZ,18,,,,
585,8151956,1703093259,DEEZ-NUTS-100bps,1.00E+19,9.95E+18,0x11b53d1dac74f1038a63e12651e5c4341fc19d5f,NUTS,18,,,,
1335,8152251,1703093849,DEEZ-NUTS-100bps,7.62E+19,7.57E+19,0xaafa21ed47f390ca6f1de7b947efe28083912306,DEEZ,18,,,,
361,8152349,1703094045,DEEZ-NUTS-100bps,6.47E+19,6.44E+19,0xaafa21ed47f390ca6f1de7b947efe28083912306,NUTS,18,,,,
505,8152386,1703094119,DEEZ-NUTS-100bps,7.00E+18,6.95E+18,0x5b191f5a2b4a867c4ed71858daccc51fc59c69c0,DEEZ,18,,,,
