owner_id,net_balance_DEEZ,points_DEEZ,net_balance_NUTS,points_NUTS,total_points,total_points_2
0x0036900bd0d41356577047e640df0cf10edfd2a6,2.5417419977154724e+18,254174199771547.25,4.1738030667907616e+20,4.173803066790762e+16,4.199220486767916e+16,346240.62747922627
0x0241a3859d561e11c65e324b9356bb76027ef5e7,2.57e+19,2570000000000000.0,9.87e+16,9870000000000.0,2579870000000000.0,25134.243035683812
0x02d27d55f24365f10e1a93a48009dff3035ea7dd,8.54e+19,8540000000000000.0,8.55e+19,8550000000000000.0,1.709e+16,153669.41891636502
0x037d7dc68b9f46400ee33792aa258612ad5045f1,9.63e+19,9630000000000000.0,3.703e+20,3.703e+16,4.666e+16,398862.04139452986
0x03baa102a7f591482307510b3bf14bd437691f09,9.87e+17,98700000000000.0,9.88e+17,98800000000000.0,197500000000000.0,1775.8871466150545
0x0433ab5d4605f6a1fc7c4d19eaf54370f928c7d6,0.0,0.0,8.45e+19,8450000000000000.0,0.0,0.0
0x065e80b6a6c668da2590688677716bd45ff3bfca,2.97e+18,297000000000000.0,2.97e+18,297000000000000.0,594000000000000.0,5341.376568651664
0x07303428898c21108a01be4632371c86812c8a0d,3.85e+19,3850000000000000.0,3.85e+19,3850000000000000.0,7700000000000000.0,69240.06663066971
0x073ef865b0df79ee8d45200e23494cf33444aaaf,4.84e+18,484000000000000.0,2.91e+18,291000000000000.0,775000000000000.0,7114.878407528491
0x0939bdeec8e4853d669459e0912050724e0f45d1,2.562e+19,2562000000000000.0,9.87e+18,987000000000000.0,3549000000000000.0,33104.097890710036
0x0989f5de8ac2b1233d4cc23fe2756fa2ea14f938,9.29e+19,9290000000000000.0,2.42e+19,2420000000000000.0,1.171e+16,110492.66934177975
0x0ab745472907aacdb868fe825579e7a7e0b730a5,1.98e+18,198000000000000.0,9.9e+17,99000000000000.0,297000000000000.0,2745.533649927632
0x0d2010d493a98d84949bb44d0c485d54af087c24,7.6e+19,7600000000000000.0,6.22e+19,6220000000000000.0,1.382e+16,125315.73031304528
0x0e539a81b163556b0284b6922a42f1cabdcecc5b,2.97e+18,297000000000000.0,2.97e+18,297000000000000.0,594000000000000.0,5341.376568651664
0x0e5d7ae8c27c8f27dfc9387eb9fbddf23ddd5d04,2.97e+18,297000000000000.0,2.97e+18,297000000000000.0,594000000000000.0,5341.376568651664
0x0f2a6dcd8cdaebbe1cb2960d6a7492387a6b01ed,1.85e+20,1.85e+16,5.91e+19,5910000000000000.0,2.441e+16,229018.2171015944
