,blockNumber,timestamp,pool,assets,shares,owner_id,token,decimals,
0,8154798,1703098943,DEEZ-NUTS-100bps,9E+18,8945304127493373238,0xa9b9d44183d982cb2e2e7f7db8dc95e92f5048df,DEEZ,18,
1,8716986,1704223319,DEEZ-NUTS-100bps,739255361326448300000,729696695079097069457,0x1718e06694adb7806435b70fe0c94c39b952331d,DEEZ,18,
2,10054377,1706898101,DEEZ-NUTS-100bps,15255084319783747713,14755495718136543587,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,NUTS,18,
3,9107890,1705005127,DEEZ-NUTS-100bps,45744232205756421161,44428531056513501582,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,DEEZ,18,
4,10702156,1708193659,DEEZ-NUTS-100bps,3E+21,2880576200702846934552,0x955916640f96efcd66f4aee595e0a44700a57868,NUTS,18,
5,10967056,1708723459,DEEZ-NUTS-100bps,380352687513945628918,362456697068395291993,0x0036900bd0d41356577047e640df0cf10edfd2a6,NUTS,18,
6,8793819,1704376985,DEEZ-NUTS-100bps,1.96238E+20,193738088583547180158,0x60b61938b0decedde8a4b53d42c5fe3d05c6c54f,NUTS,18,
7,8154749,1703098845,DEEZ-NUTS-100bps,5.5E+19,54665747445792836452,0xa9b9d44183d982cb2e2e7f7db8dc95e92f5048df,DEEZ,18,
8,10452850,1707695047,DEEZ-NUTS-100bps,695332537742321479843,671021941459836465438,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,NUTS,18,
9,10868866,1708527079,DEEZ-NUTS-100bps,997880580777374886205,951275632889425259410,0xb811dd00f18b48229e1afc353baa45b15a48ba3d,NUTS,18,
10,10729558,1708248463,DEEZ-NUTS-100bps,9718286102294559582592,9323673145088422615211,0x955916640f96efcd66f4aee595e0a44700a57868,NUTS,18,
11,8857134,1704503615,DEEZ-NUTS-100bps,114517173073915863837,112890466625255818320,0x1718e06694adb7806435b70fe0c94c39b952331d,DEEZ,18,8.43E+20
